model,seed,arm,budget,turn,input_tok,peak_tok,latency_s
qwen2.5:1.5b,1,foveance,1200,4,1937,1075,2.86381
qwen2.5:1.5b,1,foveance,1200,5,2004,1117,2.85079
qwen2.5:1.5b,2,foveance,1200,0,545,306,3.09333
qwen2.5:1.5b,2,foveance,1200,1,996,551,11.348502
qwen2.5:1.5b,2,foveance,1200,2,1438,795,12.053068
qwen2.5:1.5b,2,foveance,1200,3,1872,1034,12.327964
qwen2.5:1.5b,2,foveance,1200,4,1913,1062,21.493725
qwen2.5:1.5b,2,foveance,1200,5,1976,1103,2.827705
qwen2.5:1.5b,3,foveance,1200,0,546,306,3.053534
qwen2.5:1.5b,3,foveance,1200,1,994,551,11.395872
qwen2.5:1.5b,3,foveance,1200,2,1441,796,12.178034
qwen2.5:1.5b,3,foveance,1200,3,1878,1035,12.356177
qwen2.5:1.5b,3,foveance,1200,4,1942,1076,2.863088
qwen2.5:1.5b,3,foveance,1200,5,2004,1117,2.861029
qwen2.5:1.5b,4,foveance,1200,0,543,305,3.089675
qwen2.5:1.5b,4,foveance,1200,1,991,550,11.365655
qwen2.5:1.5b,4,foveance,1200,2,1433,794,11.894392
qwen2.5:1.5b,4,foveance,1200,3,1867,1033,12.257236
qwen2.5:1.5b,4,foveance,1200,4,1932,1074,2.851126
qwen2.5:1.5b,4,foveance,1200,5,1998,1115,2.834301
gemma2:2b,0,full,400,0,548,306,26.550404
gemma2:2b,0,full,400,1,1013,551,35.303683
gemma2:2b,0,full,400,2,1477,795,36.800144
gemma2:2b,0,full,400,3,1926,1033,38.364141
gemma2:2b,0,full,400,4,2380,1273,40.976163
gemma2:2b,0,full,400,5,2835,1512,42.205684
gemma2:2b,1,full,400,0,544,305,20.038528
gemma2:2b,1,full,400,1,1011,550,34.85763
gemma2:2b,1,full,400,2,1476,795,37.832773
gemma2:2b,1,full,400,3,1928,1034,38.548005
gemma2:2b,1,full,400,4,2383,1273,40.32099
gemma2:2b,1,full,400,5,2838,1513,42.076466
gemma2:2b,2,full,400,0,546,306,19.374622
gemma2:2b,2,full,400,1,1016,551,34.771809
gemma2:2b,2,full,400,2,1477,795,36.621829
gemma2:2b,2,full,400,3,1929,1034,38.456162
gemma2:2b,2,full,400,4,2378,1272,40.131191
gemma2:2b,2,full,400,5,2829,1511,41.860327
gemma2:2b,3,full,400,0,547,306,19.96487
gemma2:2b,3,full,400,1,1014,551,34.986669
gemma2:2b,3,full,400,2,1480,796,36.866176
gemma2:2b,3,full,400,3,1935,1035,38.288281
gemma2:2b,3,full,400,4,2390,1275,40.022481
gemma2:2b,3,full,400,5,2841,1514,42.308072
gemma2:2b,4,full,400,0,544,305,19.469214
gemma2:2b,4,full,400,1,1011,550,34.759331
gemma2:2b,4,full,400,2,1472,794,36.326585
gemma2:2b,4,full,400,3,1924,1033,38.239714
gemma2:2b,4,full,400,4,2378,1272,40.568199
gemma2:2b,4,full,400,5,2829,1511,41.824328
gemma2:2b,0,recency,400,0,548,306,20.188973
gemma2:2b,0,recency,400,1,1013,551,34.982022
gemma2:2b,0,recency,400,2,1477,795,36.983014
gemma2:2b,0,recency,400,3,1926,1033,38.766031
gemma2:2b,0,recency,400,4,1937,1039,68.958135
gemma2:2b,0,recency,400,5,1952,1047,68.414884
gemma2:2b,1,recency,400,0,544,305,19.922366
gemma2:2b,1,recency,400,1,1011,550,34.703546
gemma2:2b,1,recency,400,2,1476,795,36.89018
gemma2:2b,1,recency,400,3,1928,1034,38.457151
gemma2:2b,1,recency,400,4,1945,1041,68.712289
gemma2:2b,1,recency,400,5,1957,1048,69.173514
gemma2:2b,2,recency,400,0,546,306,20.010186
gemma2:2b,2,recency,400,1,1016,551,35.198664
gemma2:2b,2,recency,400,2,1477,795,37.02581
gemma2:2b,2,recency,400,3,1929,1034,38.384754
gemma2:2b,2,recency,400,4,1936,1039,68.849596
gemma2:2b,2,recency,400,5,1941,1044,68.199735
gemma2:2b,3,recency,400,0,547,306,20.125489
gemma2:2b,3,recency,400,1,1014,551,35.026837
gemma2:2b,3,recency,400,2,1480,796,36.994699
gemma2:2b,3,recency,400,3,1935,1035,38.82354
gemma2:2b,3,recency,400,4,1948,1042,68.939578
gemma2:2b,3,recency,400,5,1957,1048,72.981979
gemma2:2b,4,recency,400,0,544,305,21.119178
gemma2:2b,4,recency,400,1,1011,550,36.954771
gemma2:2b,4,recency,400,2,1472,794,37.758286
gemma2:2b,4,recency,400,3,1924,1033,38.785484
gemma2:2b,4,recency,400,4,1938,1040,68.661907
gemma2:2b,4,recency,400,5,1946,1046,69.084786
gemma2:2b,0,reactive_afm,400,0,548,306,5.848528
gemma2:2b,0,reactive_afm,400,1,626,352,23.420023
gemma2:2b,0,reactive_afm,400,2,706,399,26.048476
gemma2:2b,0,reactive_afm,400,3,770,439,28.274612
gemma2:2b,0,reactive_afm,400,4,457,283,16.684404
gemma2:2b,0,reactive_afm,400,5,526,325,18.597723
gemma2:2b,1,reactive_afm,400,0,544,305,5.821784
gemma2:2b,1,reactive_afm,400,1,625,352,7.677927
gemma2:2b,1,reactive_afm,400,2,706,399,10.282833
gemma2:2b,1,reactive_afm,400,3,774,440,27.887761
gemma2:2b,1,reactive_afm,400,4,459,284,16.490194
gemma2:2b,1,reactive_afm,400,5,528,325,18.723257
gemma2:2b,2,reactive_afm,400,0,546,306,5.146866
gemma2:2b,2,reactive_afm,400,1,627,352,7.392695
gemma2:2b,2,reactive_afm,400,2,682,386,9.438149
gemma2:2b,2,reactive_afm,400,3,754,428,26.088726
gemma2:2b,2,reactive_afm,400,4,433,270,16.126803
gemma2:2b,2,reactive_afm,400,5,502,312,17.813974
gemma2:2b,3,reactive_afm,400,0,547,306,4.965545
gemma2:2b,3,reactive_afm,400,1,626,352,7.673025
gemma2:2b,3,reactive_afm,400,2,706,399,24.777147
gemma2:2b,3,reactive_afm,400,3,776,440,27.190756
gemma2:2b,3,reactive_afm,400,4,458,283,16.695733
gemma2:2b,3,reactive_afm,400,5,527,325,18.616935
gemma2:2b,4,reactive_afm,400,0,544,305,5.008335
gemma2:2b,4,reactive_afm,400,1,625,352,7.529539
gemma2:2b,4,reactive_afm,400,2,704,398,10.104217
gemma2:2b,4,reactive_afm,400,3,773,440,27.040842
gemma2:2b,4,reactive_afm,400,4,458,283,16.401157
gemma2:2b,4,reactive_afm,400,5,525,324,19.243022
gemma2:2b,0,foveance,400,0,548,306,5.383503
gemma2:2b,0,foveance,400,1,626,352,3.544253
gemma2:2b,0,foveance,400,2,706,399,3.548321
gemma2:2b,0,foveance,400,3,770,439,3.626832
gemma2:2b,0,foveance,400,4,457,283,16.786561
gemma2:2b,0,foveance,400,5,526,325,18.861326
gemma2:2b,1,foveance,400,0,544,305,5.04222
gemma2:2b,1,foveance,400,1,626,352,22.374743
gemma2:2b,1,foveance,400,2,705,398,24.964407
gemma2:2b,1,foveance,400,3,773,440,27.426748
gemma2:2b,1,foveance,400,4,459,284,16.612764
gemma2:2b,1,foveance,400,5,528,325,18.718174
gemma2:2b,2,foveance,400,0,546,306,4.983821
gemma2:2b,2,foveance,400,1,627,352,7.33279
gemma2:2b,2,foveance,400,2,682,386,9.330558
gemma2:2b,2,foveance,400,3,749,427,26.020641
gemma2:2b,2,foveance,400,4,433,270,15.793206
gemma2:2b,2,foveance,400,5,502,312,18.044284
gemma2:2b,3,foveance,400,0,547,306,4.951843
gemma2:2b,3,foveance,400,1,626,352,7.36761
gemma2:2b,3,foveance,400,2,706,399,3.529764
gemma2:2b,3,foveance,400,3,776,440,3.584385
gemma2:2b,3,foveance,400,4,458,283,16.778937
gemma2:2b,3,foveance,400,5,527,325,18.667804
gemma2:2b,4,foveance,400,0,544,305,4.914374
gemma2:2b,4,foveance,400,1,625,352,7.499939
gemma2:2b,4,foveance,400,2,704,398,10.053365
gemma2:2b,4,foveance,400,3,773,440,3.605339
gemma2:2b,4,foveance,400,4,458,283,16.971117
gemma2:2b,4,foveance,400,5,525,324,18.484486
gemma2:2b,0,full,700,0,548,306,4.979027
gemma2:2b,0,full,700,1,1013,551,20.265954
gemma2:2b,0,full,700,2,1477,795,36.705327
gemma2:2b,0,full,700,3,1926,1033,38.459193
gemma2:2b,0,full,700,4,2380,1273,40.944416
gemma2:2b,0,full,700,5,2835,1512,42.503963
gemma2:2b,1,full,700,0,544,305,6.259122
gemma2:2b,1,full,700,1,1011,550,20.322298
gemma2:2b,1,full,700,2,1476,795,36.951338
gemma2:2b,1,full,700,3,1928,1034,38.287241
gemma2:2b,1,full,700,4,2383,1273,40.191718
gemma2:2b,1,full,700,5,2838,1513,41.930798
gemma2:2b,2,full,700,0,546,306,5.267961
gemma2:2b,2,full,700,1,1016,551,20.14162
gemma2:2b,2,full,700,2,1477,795,37.048294
gemma2:2b,2,full,700,3,1929,1034,38.198797
gemma2:2b,2,full,700,4,2378,1272,39.838051
gemma2:2b,2,full,700,5,2829,1511,42.596877
gemma2:2b,3,full,700,0,547,306,5.637976
gemma2:2b,3,full,700,1,1014,551,21.277924
gemma2:2b,3,full,700,2,1480,796,38.333764
gemma2:2b,3,full,700,3,1935,1035,40.062658
gemma2:2b,3,full,700,4,2390,1275,41.460599
gemma2:2b,3,full,700,5,2841,1514,43.480544
gemma2:2b,4,full,700,0,544,305,5.499301
gemma2:2b,4,full,700,1,1011,550,20.988597
gemma2:2b,4,full,700,2,1472,794,37.856623
gemma2:2b,4,full,700,3,1924,1033,38.733006
gemma2:2b,4,full,700,4,2378,1272,41.763714
gemma2:2b,4,full,700,5,2829,1511,43.649137
gemma2:2b,0,recency,700,0,548,306,21.558708
gemma2:2b,0,recency,700,1,1013,551,36.276636
gemma2:2b,0,recency,700,2,1477,795,38.517525
gemma2:2b,0,recency,700,3,1926,1033,39.544001
gemma2:2b,0,recency,700,4,1937,1039,71.17027
gemma2:2b,0,recency,700,5,1952,1047,70.714165
gemma2:2b,1,recency,700,0,544,305,19.73534
gemma2:2b,1,recency,700,1,1011,550,35.195487
gemma2:2b,1,recency,700,2,1476,795,38.122951
gemma2:2b,1,recency,700,3,1928,1034,39.3803
gemma2:2b,1,recency,700,4,1945,1041,70.986479
gemma2:2b,1,recency,700,5,1957,1048,71.902899
gemma2:2b,2,recency,700,0,546,306,20.11251
gemma2:2b,2,recency,700,1,1016,551,35.954426
gemma2:2b,2,recency,700,2,1477,795,38.500193
gemma2:2b,2,recency,700,3,1929,1034,39.87311
gemma2:2b,2,recency,700,4,1936,1039,70.80827
gemma2:2b,2,recency,700,5,1941,1044,70.332992
gemma2:2b,3,recency,700,0,547,306,19.99037
gemma2:2b,3,recency,700,1,1014,551,35.836009
gemma2:2b,3,recency,700,2,1480,796,38.369236
gemma2:2b,3,recency,700,3,1935,1035,39.711615
gemma2:2b,3,recency,700,4,1948,1042,72.319119
gemma2:2b,3,recency,700,5,1957,1048,71.433236
gemma2:2b,4,recency,700,0,544,305,19.762419
gemma2:2b,4,recency,700,1,1011,550,35.813365
gemma2:2b,4,recency,700,2,1472,794,37.809948
gemma2:2b,4,recency,700,3,1924,1033,39.682454
gemma2:2b,4,recency,700,4,1938,1040,71.588239
gemma2:2b,4,recency,700,5,1946,1046,70.738471
gemma2:2b,0,reactive_afm,700,0,548,306,6.195877
gemma2:2b,0,reactive_afm,700,1,1013,551,20.887437
gemma2:2b,0,reactive_afm,700,2,1093,597,24.089873
gemma2:2b,0,reactive_afm,700,3,1155,637,40.945968
gemma2:2b,0,reactive_afm,700,4,1224,678,44.243508
gemma2:2b,0,reactive_afm,700,5,1293,720,24.724575
gemma2:2b,1,reactive_afm,700,0,544,305,5.311299
gemma2:2b,1,reactive_afm,700,1,1011,550,20.982486
gemma2:2b,1,reactive_afm,700,2,1092,597,23.93164
gemma2:2b,1,reactive_afm,700,3,1157,637,41.301422
gemma2:2b,1,reactive_afm,700,4,1229,680,24.512335
gemma2:2b,1,reactive_afm,700,5,1300,722,46.45487
gemma2:2b,2,reactive_afm,700,0,546,306,5.611398
gemma2:2b,2,reactive_afm,700,1,1016,551,21.060737
gemma2:2b,2,reactive_afm,700,2,1071,585,22.943928
gemma2:2b,2,reactive_afm,700,3,1138,626,40.797466
gemma2:2b,2,reactive_afm,700,4,1203,666,23.276708
gemma2:2b,2,reactive_afm,700,5,1273,708,26.709351
gemma2:2b,3,reactive_afm,700,0,547,306,6.054766
gemma2:2b,3,reactive_afm,700,1,1014,551,21.444333
gemma2:2b,3,reactive_afm,700,2,1092,597,24.207506
gemma2:2b,3,reactive_afm,700,3,1161,638,42.291505
gemma2:2b,3,reactive_afm,700,4,1231,680,44.30654
gemma2:2b,3,reactive_afm,700,5,1296,721,46.630958
gemma2:2b,4,reactive_afm,700,0,544,305,5.299729
gemma2:2b,4,reactive_afm,700,1,1011,550,20.935091
gemma2:2b,4,reactive_afm,700,2,1086,595,23.681096
gemma2:2b,4,reactive_afm,700,3,1155,637,41.389775
gemma2:2b,4,reactive_afm,700,4,1227,679,43.944656
gemma2:2b,4,reactive_afm,700,5,1293,720,24.289126
gemma2:2b,0,foveance,700,0,548,306,5.364443
gemma2:2b,0,foveance,700,1,1013,551,21.041883
gemma2:2b,0,foveance,700,2,1093,597,23.94748
gemma2:2b,0,foveance,700,3,1155,637,3.732025
gemma2:2b,0,foveance,700,4,1224,678,21.660365
gemma2:2b,0,foveance,700,5,1293,720,24.277421
gemma2:2b,1,foveance,700,0,544,305,5.130945
gemma2:2b,1,foveance,700,1,1011,550,21.483438
gemma2:2b,1,foveance,700,2,1091,597,38.858692
gemma2:2b,1,foveance,700,3,1157,637,21.494865
gemma2:2b,1,foveance,700,4,1229,680,24.288346
gemma2:2b,1,foveance,700,5,1300,722,3.777706
gemma2:2b,2,foveance,700,0,546,306,5.199755
gemma2:2b,2,foveance,700,1,1016,551,20.807426
gemma2:2b,2,foveance,700,2,1071,585,23.175027
gemma2:2b,2,foveance,700,3,1155,637,41.164346
gemma2:2b,2,foveance,700,4,1203,666,23.577512
gemma2:2b,2,foveance,700,5,1265,706,44.700164
gemma2:2b,3,foveance,700,0,547,306,5.444472
gemma2:2b,3,foveance,700,1,1014,551,20.966508
gemma2:2b,3,foveance,700,2,1092,597,24.178062
gemma2:2b,3,foveance,700,3,1161,638,3.743065
gemma2:2b,3,foveance,700,4,1231,680,3.841625
gemma2:2b,3,foveance,700,5,1296,721,3.807015
gemma2:2b,4,foveance,700,0,544,305,5.231036
gemma2:2b,4,foveance,700,1,1011,550,20.970559
gemma2:2b,4,foveance,700,2,1086,595,23.795824
gemma2:2b,4,foveance,700,3,1155,637,3.73305
gemma2:2b,4,foveance,700,4,1227,679,21.746754
gemma2:2b,4,foveance,700,5,1293,720,24.079187
gemma2:2b,0,full,1200,0,548,306,5.225354
gemma2:2b,0,full,1200,1,1013,551,20.912869
gemma2:2b,0,full,1200,2,1477,795,38.384583
gemma2:2b,0,full,1200,3,1926,1033,39.722981
gemma2:2b,0,full,1200,4,2380,1273,42.196637
gemma2:2b,0,full,1200,5,2835,1512,43.641695
gemma2:2b,1,full,1200,0,544,305,6.577045
gemma2:2b,1,full,1200,1,1011,550,21.134197
gemma2:2b,1,full,1200,2,1476,795,38.158525
gemma2:2b,1,full,1200,3,1928,1034,39.794339
gemma2:2b,1,full,1200,4,2383,1273,41.585193
gemma2:2b,1,full,1200,5,2838,1513,43.659609
gemma2:2b,2,full,1200,0,546,306,5.454619
gemma2:2b,2,full,1200,1,1016,551,20.899753
gemma2:2b,2,full,1200,2,1477,795,38.106538
gemma2:2b,2,full,1200,3,1929,1034,39.858661
gemma2:2b,2,full,1200,4,2378,1272,41.747226
gemma2:2b,2,full,1200,5,2829,1511,43.553487
gemma2:2b,3,full,1200,0,547,306,5.582405
gemma2:2b,3,full,1200,1,1014,551,20.829355
gemma2:2b,3,full,1200,2,1480,796,38.664786
gemma2:2b,3,full,1200,3,1935,1035,40.178392
gemma2:2b,3,full,1200,4,2390,1275,41.808836
gemma2:2b,3,full,1200,5,2841,1514,44.118151
gemma2:2b,4,full,1200,0,544,305,5.685031
gemma2:2b,4,full,1200,1,1011,550,20.999461
gemma2:2b,4,full,1200,2,1472,794,37.722901
gemma2:2b,4,full,1200,3,1924,1033,39.675378
gemma2:2b,4,full,1200,4,2378,1272,42.096027
gemma2:2b,4,full,1200,5,2829,1511,43.811093
gemma2:2b,0,recency,1200,0,548,306,21.313704
gemma2:2b,0,recency,1200,1,1013,551,36.366529
gemma2:2b,0,recency,1200,2,1477,795,38.170568
gemma2:2b,0,recency,1200,3,1926,1033,39.610234
gemma2:2b,0,recency,1200,4,1937,1039,70.624479
gemma2:2b,0,recency,1200,5,1952,1047,71.47255
gemma2:2b,1,recency,1200,0,544,305,20.087947
gemma2:2b,1,recency,1200,1,1011,550,35.873084
gemma2:2b,1,recency,1200,2,1476,795,38.629987
gemma2:2b,1,recency,1200,3,1928,1034,40.121049
gemma2:2b,1,recency,1200,4,1945,1041,71.823549
gemma2:2b,1,recency,1200,5,1957,1048,71.380446
gemma2:2b,2,recency,1200,0,546,306,20.384979
gemma2:2b,2,recency,1200,1,1016,551,36.53259
gemma2:2b,2,recency,1200,2,1477,795,37.984882
gemma2:2b,2,recency,1200,3,1929,1034,38.918458
gemma2:2b,2,recency,1200,4,1936,1039,70.670814
gemma2:2b,2,recency,1200,5,1941,1044,70.289423
gemma2:2b,3,recency,1200,0,547,306,20.237197
gemma2:2b,3,recency,1200,1,1014,551,36.17698
gemma2:2b,3,recency,1200,2,1480,796,38.067342
gemma2:2b,3,recency,1200,3,1935,1035,39.711123
gemma2:2b,3,recency,1200,4,1948,1042,72.044312
gemma2:2b,3,recency,1200,5,1957,1048,71.379144
gemma2:2b,4,recency,1200,0,544,305,20.123385
gemma2:2b,4,recency,1200,1,1011,550,35.783953
gemma2:2b,4,recency,1200,2,1472,794,37.691076
gemma2:2b,4,recency,1200,3,1924,1033,39.918896
gemma2:2b,4,recency,1200,4,1938,1040,72.107363
gemma2:2b,4,recency,1200,5,1946,1046,70.627948
gemma2:2b,0,reactive_afm,1200,0,548,306,6.343744
gemma2:2b,0,reactive_afm,1200,1,1013,551,20.923307
gemma2:2b,0,reactive_afm,1200,2,1477,795,38.084751
gemma2:2b,0,reactive_afm,1200,3,1926,1033,38.997825
gemma2:2b,0,reactive_afm,1200,4,1996,1075,57.82602
gemma2:2b,0,reactive_afm,1200,5,2064,1116,75.905284
gemma2:2b,1,reactive_afm,1200,0,544,305,7.307734
gemma2:2b,1,reactive_afm,1200,1,1011,550,20.880868
gemma2:2b,1,reactive_afm,1200,2,1476,795,37.984421
gemma2:2b,1,reactive_afm,1200,3,1928,1034,39.990095
gemma2:2b,1,reactive_afm,1200,4,1997,1075,58.761759
gemma2:2b,1,reactive_afm,1200,5,2067,1117,76.584294
gemma2:2b,2,reactive_afm,1200,0,546,306,6.640046
gemma2:2b,2,reactive_afm,1200,1,1016,551,20.866914
gemma2:2b,2,reactive_afm,1200,2,1477,795,37.950105
gemma2:2b,2,reactive_afm,1200,3,1929,1034,39.798069
gemma2:2b,2,reactive_afm,1200,4,1972,1062,39.844335
gemma2:2b,2,reactive_afm,1200,5,2038,1103,75.44491
gemma2:2b,3,reactive_afm,1200,0,547,306,7.080721
gemma2:2b,3,reactive_afm,1200,1,1014,551,20.848795
gemma2:2b,3,reactive_afm,1200,2,1480,796,38.164469
gemma2:2b,3,reactive_afm,1200,3,1935,1035,39.720163
gemma2:2b,3,reactive_afm,1200,4,2002,1076,58.374765
gemma2:2b,3,reactive_afm,1200,5,2067,1117,75.294824
gemma2:2b,4,reactive_afm,1200,0,544,305,5.828479
gemma2:2b,4,reactive_afm,1200,1,1011,550,20.846095
gemma2:2b,4,reactive_afm,1200,2,1472,794,37.941731
gemma2:2b,4,reactive_afm,1200,3,1924,1033,39.46108
gemma2:2b,4,reactive_afm,1200,4,1992,1074,57.192209
gemma2:2b,4,reactive_afm,1200,5,2061,1115,60.467313
gemma2:2b,0,foveance,1200,0,548,306,5.895096
gemma2:2b,0,foveance,1200,1,1013,551,20.933625
gemma2:2b,0,foveance,1200,2,1477,795,37.822937
gemma2:2b,0,foveance,1200,3,1926,1033,39.33458
gemma2:2b,0,foveance,1200,4,1996,1075,4.956164
gemma2:2b,0,foveance,1200,5,2064,1116,5.644491
gemma2:2b,1,foveance,1200,0,544,305,6.299779
gemma2:2b,1,foveance,1200,1,1011,550,20.959202
gemma2:2b,1,foveance,1200,2,1476,795,38.429473
gemma2:2b,1,foveance,1200,3,1928,1034,40.16225
gemma2:2b,1,foveance,1200,4,1997,1075,5.083736
gemma2:2b,1,foveance,1200,5,2067,1117,5.773632
gemma2:2b,2,foveance,1200,0,546,306,5.570916
gemma2:2b,2,foveance,1200,1,1016,551,20.868889
gemma2:2b,2,foveance,1200,2,1477,795,38.583116
gemma2:2b,2,foveance,1200,3,1929,1034,39.958964
