model,policy,budget,acc_mean,acc_lo,acc_hi,in_tok_mean,total_tok_mean,peak_tok_mean,ms_per_turn,tok_per_correct,reinflations_mean,n_seeds
gemma2:2b,full,400,1.0,1.0,1.0,10179.8,10227.8,1512.2,35623.82,3393.3,0.0,5
gemma2:2b,full,700,1.0,1.0,1.0,10179.8,10227.8,1512.2,30987.86,3393.3,0.0,5
gemma2:2b,full,1200,1.0,1.0,1.0,10179.8,10227.8,1512.2,31726.17,3393.3,0.0,5
gemma2:2b,recency,400,0.6667,0.6667,0.6667,8855.0,8899.0,1046.6,44969.24,4427.5,0.0,5
gemma2:2b,recency,700,0.6667,0.6667,0.6667,8855.0,8899.0,1046.6,46058.03,4427.5,0.0,5
gemma2:2b,recency,1200,0.6667,0.6667,0.6667,8855.0,8899.0,1046.6,46137.47,4427.5,0.0,5
gemma2:2b,truncate,400,0.0,0.0,0.0,2752.4,2760.4,384.0,5274.77,2752400000000.0,0.0,5
gemma2:2b,truncate,700,0.0,0.0,0.0,4357.2,4365.2,610.4,5340.81,4357200000000.0,0.0,5
gemma2:2b,truncate,1200,0.0,0.0,0.0,6889.4,6897.4,1064.8,5277.42,6889400000000.0,0.0,5
gemma2:2b,uniform,400,0.0,0.0,0.0,2268.4,2276.4,404.8,5377.33,2268400000000.0,0.0,5
gemma2:2b,uniform,700,0.0,0.0,0.0,2665.0,2673.0,550.6,5311.59,2665000000000.0,0.0,5
gemma2:2b,uniform,1200,0.0,0.0,0.0,4056.0,4064.0,1033.8,5266.51,4056000000000.0,0.0,5
gemma2:2b,reactive_afm,400,1.0,1.0,1.0,3616.4,3664.2,437.4,15767.03,1205.5,0.0,5
gemma2:2b,reactive_afm,700,1.0,1.0,1.0,6312.6,6360.6,718.2,26948.53,2104.2,0.0,5
gemma2:2b,reactive_afm,1200,1.0,1.0,1.0,9014.8,9062.8,1113.6,38711.84,3004.9,0.0,5
gemma2:2b,foveance,400,1.0,1.0,1.0,3615.2,3663.2,437.2,12160.14,1205.1,0.0,5
gemma2:2b,foveance,700,0.9333,0.8,1.0,6314.2,6362.0,717.8,17840.63,2313.3,0.0,5
gemma2:2b,foveance,1200,1.0,1.0,1.0,9014.8,9062.8,1113.6,20496.19,3004.9,0.0,5
llama3.2:1b,full,400,1.0,1.0,1.0,8259.0,8290.2,1512.2,15485.76,2753.0,0.0,5
llama3.2:1b,full,700,1.0,1.0,1.0,8259.0,8290.2,1512.2,10179.6,2753.0,0.0,5
llama3.2:1b,full,1200,1.0,1.0,1.0,8259.0,8290.2,1512.2,10200.69,2753.0,0.0,5
llama3.2:1b,recency,400,0.6667,0.6667,0.6667,7209.6,7239.2,1046.6,23064.67,3604.8,0.0,5
llama3.2:1b,recency,700,0.6667,0.6667,0.6667,7209.6,7239.2,1046.6,19057.38,3604.8,0.0,5
llama3.2:1b,recency,1200,0.6667,0.6667,0.6667,7209.6,7239.2,1046.6,8273.4,3604.8,0.0,5
llama3.2:1b,truncate,400,0.0,0.0,0.0,4198.2,4247.2,384.0,12783.04,4198200000000.0,0.0,5
llama3.2:1b,truncate,700,0.04,0.0,0.12,6611.0,6667.6,610.4,11318.68,5294400001316.6,0.0,5
llama3.2:1b,truncate,1200,0.4,0.4,0.4,10413.4,10457.2,1064.8,17405.05,5206.7,0.0,5
llama3.2:1b,uniform,400,1.0,1.0,1.0,3237.0,3275.8,404.8,4645.67,647.4,0.0,5
llama3.2:1b,uniform,700,1.0,1.0,1.0,3845.0,3887.2,550.6,5665.31,769.0,0.0,5
llama3.2:1b,uniform,1200,1.0,1.0,1.0,5981.0,6023.8,1033.8,7360.48,1196.2,0.0,5
llama3.2:1b,reactive_afm,400,1.0,1.0,1.0,3075.0,3106.4,437.4,8174.75,1025.0,0.0,5
llama3.2:1b,reactive_afm,700,1.0,1.0,1.0,5203.0,5234.0,718.2,10421.63,1734.3,0.0,5
llama3.2:1b,reactive_afm,1200,0.9333,0.8,1.0,7339.0,7365.8,1113.6,14719.47,2689.9,0.0,5
llama3.2:1b,foveance,400,1.0,1.0,1.0,3075.0,3107.8,437.2,4613.38,1025.0,0.0,5
llama3.2:1b,foveance,700,1.0,1.0,1.0,5207.0,5238.6,717.8,8628.3,1735.7,0.0,5
llama3.2:1b,foveance,1200,0.9333,0.8,1.0,7339.0,7365.8,1113.6,7605.66,2689.9,0.0,5
qwen2.5:1.5b,full,400,1.0,1.0,1.0,9894.8,9930.8,1512.2,12632.68,3298.3,0.0,5
qwen2.5:1.5b,full,700,1.0,1.0,1.0,9894.8,9930.8,1512.2,10846.6,3298.3,0.0,5
qwen2.5:1.5b,full,1200,1.0,1.0,1.0,9894.8,9930.8,1512.2,10871.22,3298.3,0.0,5
qwen2.5:1.5b,recency,400,0.6667,0.6667,0.6667,8621.0,8653.0,1046.6,20242.41,4310.5,0.0,5
qwen2.5:1.5b,recency,700,0.6667,0.6667,0.6667,8621.0,8653.0,1046.6,8667.74,4310.5,0.0,5
qwen2.5:1.5b,recency,1200,0.6667,0.6667,0.6667,8621.0,8653.0,1046.6,8750.62,4310.5,0.0,5
qwen2.5:1.5b,truncate,400,0.0,0.0,0.0,2752.4,2760.4,384.0,4877.72,2752400000000.0,0.0,5
qwen2.5:1.5b,truncate,700,0.0,0.0,0.0,4357.2,4365.2,610.4,5002.68,4357200000000.0,0.0,5
qwen2.5:1.5b,truncate,1200,0.0,0.0,0.0,6889.4,6897.4,1064.8,4995.1,6889400000000.0,0.0,5
qwen2.5:1.5b,uniform,400,0.0,0.0,0.0,2268.4,2276.4,404.8,4994.8,2268400000000.0,0.0,5
qwen2.5:1.5b,uniform,700,0.0,0.0,0.0,2665.0,2673.0,550.6,4967.25,2665000000000.0,0.0,5
qwen2.5:1.5b,uniform,1200,0.0,0.0,0.0,4056.0,4064.0,1033.8,4749.04,4056000000000.0,0.0,5
qwen2.5:1.5b,reactive_afm,400,1.0,1.0,1.0,3587.2,3622.4,437.4,6567.32,1195.7,0.0,5
qwen2.5:1.5b,reactive_afm,700,1.0,1.0,1.0,6178.4,6214.4,718.2,10721.0,2059.5,0.0,5
qwen2.5:1.5b,reactive_afm,1200,1.0,1.0,1.0,8775.2,8811.2,1113.6,15568.51,2925.1,0.0,5
qwen2.5:1.5b,foveance,400,1.0,1.0,1.0,3586.0,3622.0,437.2,4526.4,1195.3,0.0,5
qwen2.5:1.5b,foveance,700,1.0,1.0,1.0,6179.8,6215.8,717.8,8921.84,2059.9,0.0,5
qwen2.5:1.5b,foveance,1200,1.0,1.0,1.0,8775.2,8811.2,1113.6,8037.89,2925.1,0.0,5
